target,n_trees,strategy,service_time_min,t_max_h,seed,time_limit_sec,k,balance,total_travel_time_sec,route_time_mean_sec,route_time_std_sec,routes_over_t_max,dropped_trees,sum_max_radius_m,interleave_total,interleave_per_route,worst_pair_iou,cost_matrix.total,cost_matrix.cache_lookup,cost_matrix.osrm_fetch,cost_matrix.chunk_assembly,model_build.total,solve.total,solve.first_solution,solve.metaheuristic,solution_extraction.total,metrics.total,pipeline_total
Profiling RP2 - area chica (area 40),157,global,1.0,2.0,42,180,4,0.9993487959653062,19440,7214,2,4,0,3584,273,68.25,0.86,1.686,0.001,1.682,0.002,0.003,179.998,0.025,179.973,0.001,0.001,181.689
Profiling RP2 - area chica (area 40),157,global,1.0,2.0,43,180,4,0.9993487959653062,19440,7214,2,4,0,3584,273,68.25,0.86,0.007,0.007,0.0,0.0,0.001,179.997,0.023,179.975,0.001,0.001,180.006
Profiling RP2 - area chica (area 40),157,global,1.0,2.0,44,180,4,0.9993487959653062,19440,7214,2,4,0,3584,273,68.25,0.86,0.006,0.006,0.0,0.0,0.0,180.003,0.022,179.981,0.001,0.001,180.011
Profiling RP2 - area chica (area 40),157,global,1.0,3.0,42,180,2,0.9986073383616234,5074,7247,5,0,0,1410,38,19.0,0.21,0.006,0.006,0.0,0.0,0.0,179.998,0.023,179.975,0.001,0.001,180.006
Profiling RP2 - area chica (area 40),157,global,1.0,3.0,43,180,2,0.9986073383616234,5074,7247,5,0,0,1410,38,19.0,0.21,0.006,0.006,0.0,0.0,0.001,179.998,0.023,179.975,0.001,0.001,180.006
Profiling RP2 - area chica (area 40),157,global,1.0,3.0,44,180,2,0.9986073383616234,5074,7247,5,0,0,1410,38,19.0,0.21,0.006,0.006,0.0,0.0,0.0,179.998,0.023,179.975,0.001,0.001,180.006
Profiling RP2 - area chica (area 40),157,global,2.0,2.0,42,180,4,0.9981164478422248,10022,7215,5,4,0,1429,79,19.75,0.29,0.006,0.006,0.0,0.0,0.0,160.806,0.021,160.785,0.001,0.001,160.815
Profiling RP2 - area chica (area 40),157,global,2.0,2.0,43,180,4,0.9981164478422248,10022,7215,5,4,0,1429,79,19.75,0.29,0.006,0.006,0.0,0.0,0.001,179.998,0.021,179.977,0.001,0.001,180.006
Profiling RP2 - area chica (area 40),157,global,2.0,2.0,44,180,4,0.9981164478422248,10022,7215,5,4,0,1429,79,19.75,0.29,0.006,0.006,0.0,0.0,0.0,179.997,0.02,179.977,0.001,0.001,180.006
Profiling RP2 - area chica (area 40),157,global,2.0,3.0,42,180,3,0.8632198952879582,4754,7864,501,0,0,1191,12,4.0,0.03,0.006,0.006,0.0,0.0,0.0,179.997,0.022,179.976,0.001,0.001,180.006
Profiling RP2 - area chica (area 40),157,global,2.0,3.0,43,180,3,0.8632198952879582,4754,7864,501,0,0,1191,12,4.0,0.03,0.006,0.006,0.0,0.0,0.001,179.997,0.022,179.976,0.001,0.001,180.006
Profiling RP2 - area chica (area 40),157,global,2.0,3.0,44,180,3,0.8632198952879582,4754,7864,501,0,0,1191,12,4.0,0.03,0.006,0.006,0.0,0.0,0.0,179.997,0.022,179.976,0.001,0.001,180.006
Profiling RP2 - area chica (area 40),157,global,3.0,2.0,42,180,6,0.9982953364285219,15002,7210,4,6,0,3657,263,43.83,0.44,0.006,0.006,0.0,0.0,0.0,179.997,0.02,179.978,0.001,0.001,180.006
Profiling RP2 - area chica (area 40),157,global,3.0,2.0,43,180,6,0.9982953364285219,15002,7210,4,6,0,3657,263,43.83,0.44,0.006,0.006,0.0,0.0,0.0,180.032,0.02,180.012,0.001,0.001,180.04
Profiling RP2 - area chica (area 40),157,global,3.0,2.0,44,180,6,0.9982953364285219,15002,7210,4,6,0,3657,263,43.83,0.44,0.006,0.006,0.0,0.0,0.0,78.411,0.02,78.391,0.001,0.001,78.419
Profiling RP2 - area chica (area 40),157,global,3.0,3.0,42,180,4,0.8461020046833057,4568,8207,561,0,0,1559,88,22.0,0.19,0.006,0.006,0.0,0.0,0.001,59.975,0.021,59.954,0.001,0.001,59.984
Profiling RP2 - area chica (area 40),157,global,3.0,3.0,43,180,4,0.8461020046833057,4563,8205,552,0,0,1617,79,19.75,0.19,0.006,0.006,0.0,0.0,0.0,179.999,0.021,179.978,0.001,0.001,180.008
Profiling RP2 - area chica (area 40),157,global,3.0,3.0,44,180,4,0.8461020046833057,4563,8205,552,0,0,1617,79,19.75,0.19,0.006,0.006,0.0,0.0,0.0,179.999,0.021,179.978,0.001,0.002,180.008
