route,n_trees,duration_sec,service_total_sec,travel_sec,walk_ratio,shortfall_sec,saturation,self_crossings
1,46,9473,5520,3953,0.417,0,0.877,5
2,31,7078,3720,3358,0.474,122,0.655,1
3,44,8954,5280,3674,0.41,0,0.829,2
4,38,7418,4560,2858,0.385,0,0.687,2
5,36,8815,4320,4495,0.51,0,0.816,1
6,47,8871,5640,3231,0.364,0,0.821,2
7,39,7740,4680,3060,0.395,0,0.717,1
8,3,7736,360,7376,0.953,0,0.716,0
9,52,8121,6240,1881,0.232,0,0.752,4
10,56,8827,6720,2107,0.239,0,0.817,1
11,48,8900,5760,3140,0.353,0,0.824,1
12,46,8960,5520,3440,0.384,0,0.83,0
13,58,8934,6960,1974,0.221,0,0.827,0
14,54,8777,6480,2297,0.262,0,0.813,0
15,49,8431,5880,2551,0.303,0,0.781,4
16,56,8687,6720,1967,0.226,0,0.804,1
17,60,8475,7200,1275,0.15,0,0.785,0
18,60,8794,7200,1594,0.181,0,0.814,0
19,59,8549,7080,1469,0.172,0,0.792,1
20,59,8881,7080,1801,0.203,0,0.822,0
21,42,6998,5039,1959,0.28,202,0.648,1
22,51,8652,6120,2532,0.293,0,0.801,1
23,66,8906,7920,986,0.111,0,0.825,1
24,53,8915,6360,2555,0.287,0,0.825,0
25,63,8703,7560,1143,0.131,0,0.806,0
26,61,8894,7320,1574,0.177,0,0.824,2
27,62,8260,7440,820,0.099,0,0.765,0
28,57,7893,6840,1053,0.133,0,0.731,1
29,47,8185,5640,2545,0.311,0,0.758,1
30,47,7673,5640,2033,0.265,0,0.71,1
31,58,8362,6960,1402,0.168,0,0.774,0
32,59,8510,7080,1430,0.168,0,0.788,1
summary,1607,270372,192839,77533,0.287,324,0.782,35
