dataset,soft_lower_penalty,soft_upper_target,seed,k,drops,travel_sec,duration_mean_sec,duration_sd_sec,balance,walk_ratio,walk_ratio_worst,tmin_gap_routes,tmin_gap_coverage_mean,saturation_mean,routes_over_tmax,self_crossings
ref,10000,midpoint,42,25,0,59372,10088,634,0.838,0.235,0.901,3,7.448,0.934,0,76
ref,10000,midpoint,43,25,0,59400,10090,635,0.838,0.235,0.901,3,7.448,0.934,0,77
ref,10000,midpoint,44,25,0,59372,10088,634,0.838,0.235,0.901,3,7.448,0.934,0,76
ref,10000,tmax,42,25,0,58696,10061,822,0.715,0.233,0.969,5,7.127,0.932,0,6
ref,10000,tmax,43,25,0,58658,10060,824,0.715,0.233,0.969,5,7.246,0.931,0,7
ref,10000,tmax,44,25,0,58461,10052,851,0.713,0.233,0.969,5,7.014,0.931,0,6
ref,100,midpoint,42,26,0,62889,9836,640,0.831,0.246,0.838,8,226.523,0.911,0,77
ref,100,midpoint,43,26,0,62889,9836,640,0.831,0.246,0.838,8,226.523,0.911,0,77
ref,100,midpoint,44,26,0,62918,9837,657,0.831,0.246,0.838,8,226.455,0.911,0,76
ref,100,tmax,42,25,0,58317,10046,827,0.708,0.232,0.969,3,2.752,0.93,0,10
ref,100,tmax,43,25,0,58302,10046,827,0.708,0.232,0.969,3,2.752,0.93,0,8
ref,100,tmax,44,25,0,58302,10046,827,0.708,0.232,0.969,3,2.752,0.93,0,8
ref,0,midpoint,42,32,0,77533,8449,583,0.739,0.287,0.953,26,3.747,0.782,0,35
ref,0,midpoint,43,32,0,77510,8448,583,0.739,0.287,0.953,26,3.743,0.782,0,35
ref,0,midpoint,44,32,0,76816,8427,645,0.739,0.285,0.953,26,3.763,0.78,0,32
ref,0,tmax,42,25,0,50762,9744,2116,0.011,0.208,0.341,4,14.045,0.902,0,10
ref,0,tmax,43,25,0,50777,9745,2117,0.011,0.208,0.341,4,14.045,0.902,0,12
ref,0,tmax,44,25,0,50778,9745,2117,0.011,0.208,0.341,4,14.045,0.902,0,12
