instance,n,bbox_area_km2,density_per_km2,diameter_m,extent_major_m,extent_minor_m,elongation,service_total_sec,nn_mean_sec,k_hat,msf_k_hat_sec,work_lb_sec,saturation_hat,rho_pad
battery-n50,50,0.764,65.4,951,828,920,0.9,6000,42.18,1,2746,8746,0.81,0.823
battery-n100,100,0.951,105.2,1022,973,975,1.0,12000,25.1,2,2601,14601,0.676,0.986
battery-n200,200,1.7166,116.5,1454,1228,1401,0.88,24000,17.74,3,4730,28730,0.887,0.752
battery-n400,400,2.3649,169.1,1611,1604,1576,1.02,48000,14.04,6,7477,55477,0.856,0.779
battery-n800,800,3.2554,245.7,1891,1891,1876,1.01,96000,11.37,11,12494,108494,0.913,0.73
battery-n1000,1000,3.6297,275.5,2013,2008,1980,1.01,120000,11.12,13,15621,135621,0.966,0.69
battery-sparse-n250,250,3.5557,70.3,2012,1976,1981,1.0,30000,34.33,4,11344,41344,0.957,0.697
battery-sparse-n500,500,3.584,139.5,2012,1972,1974,1.0,60000,19.23,7,13647,73647,0.974,0.684
area-26-n157,157,1.2087,129.9,1349,1339,796,1.68,18840,15.48,3,3618,22458,0.693,0.962
area-27-n72,72,0.4176,172.4,979,972,214,4.54,8640,7.59,1,1303,9943,0.921,0.724
area-29-n43,43,0.0873,492.6,417,388,226,1.72,5160,9.23,1,789,5949,0.551,1.21
reference-n1607,1607,73.2777,21.9,11879,11776,3750,3.14,192840,17.1,21,31260,224100,0.988,0.675
