instance,n,k,msf_k_sec,ub_k_sec,ub_k_directed_sec,gap_sec,gap_pct,ub_max_route_dur_sec,ub_routes_over_tmax,ub_tmax_feasible,tsp_time_limit_sec
reference-n1607,1607,1,42837,55644,55644,12807,29.9,248484,1,False,600
reference-n1607,1607,2,36051,48858,48858,12807,35.52,241578,1,False,600
reference-n1607,1607,3,35259,47685,47685,12426,35.24,240131,1,False,600
reference-n1607,1607,4,34759,46824,46824,12065,34.71,215520,2,False,600
reference-n1607,1607,5,34370,45985,45985,11615,33.79,215520,2,False,600
reference-n1607,1607,6,33995,45394,45394,11399,33.53,118132,3,False,600
reference-n1607,1607,7,33663,44894,44894,11230,33.36,118132,3,False,600
reference-n1607,1607,8,33358,44435,44435,11078,33.21,118132,3,False,600
reference-n1607,1607,9,33095,44040,44040,10946,33.07,118132,3,False,600
reference-n1607,1607,10,32883,43651,43651,10768,32.75,112386,3,False,600
reference-n1607,1607,11,32679,43267,43267,10588,32.4,96797,4,False,600
reference-n1607,1607,12,32504,42904,42904,10400,32.0,96797,5,False,600
reference-n1607,1607,13,32344,42557,42557,10213,31.58,77497,6,False,600
reference-n1607,1607,14,32189,42226,42226,10037,31.18,77497,6,False,600
reference-n1607,1607,15,32036,41944,41944,9908,30.93,77497,6,False,600
reference-n1607,1607,16,31887,41665,41665,9778,30.66,77497,6,False,600
reference-n1607,1607,17,31751,41429,41429,9678,30.48,77497,6,False,600
reference-n1607,1607,18,31623,41196,41196,9574,30.27,77497,6,False,600
reference-n1607,1607,19,31500,40971,40971,9472,30.07,64503,7,False,600
reference-n1607,1607,20,31377,40749,40749,9372,29.87,42581,8,False,600
reference-n1607,1607,21,31260,40532,40532,9272,29.66,40408,8,False,600
reference-n1607,1607,22,31147,40320,40320,9173,29.45,40408,8,False,600
reference-n1607,1607,23,31037,40110,40110,9073,29.23,40408,8,False,600
reference-n1607,1607,24,30928,39900,39900,8973,29.01,40408,8,False,600
reference-n1607,1607,25,30823,39695,39695,8872,28.78,40408,8,False,600
reference-n1607,1607,26,30719,39491,39491,8772,28.55,40408,8,False,600
reference-n1607,1607,27,30616,39287,39287,8671,28.32,40408,8,False,600
reference-n1607,1607,28,30516,39091,39091,8576,28.1,40408,8,False,600
reference-n1607,1607,29,30416,38897,38897,8481,27.88,40408,8,False,600
reference-n1607,1607,30,30318,38708,38708,8389,27.67,40408,8,False,600
